chr,start,end,strand,name,nr reads,start region,end region,closest cg id,closest symbol
chr2R,13162916,13163568,+,s1,21538,5' UTRs,CDS,CG33197,mbl
chr3LHet,2454980,2455331,+,s2,10183,CDS,CDS,CG17023,Dbp80
chr4,470551,471135,+,s3,8675,5' UTRs,CDS,CG1495,CaMKI
chr3LHet,209157,209624,+,s4,6596,5' UTRs,CDS,CG17594,scro
chr2R,1311256,1311744,+,s5,4587,CDS,CDS,CG42345,CG42345
chr4,1042869,1044306,-,s6,3906,CDS,5' UTRs,CG11081,plexA
chr2RHet,3174711,3175043,-,s7,3709,CDS,CDS,FBgn0260994,CG42595-RF
chr3L,14673300,14673887,+,s8,3640,5' UTRs,CDS,CG42280,ome
chr2RHet,3154310,3155516,-,s9,3286,CDS,CDS,FBgn0260994,CG42595-RF
chr3R,8957090,8958815,-,s10,2713,CDS,5' UTRs,CG42573,2mit
chr3L,14673297,14673887,+,s11,2517,5' UTRs,CDS,CG42280,ome
chr3L,7655572,7656424,-,s12,2507,CDS,CDS,FBgn0261687,NA
chr2RHet,3215007,3215562,+,s13,2386,CDS,CDS,CG40080,Haspin
chr2R,494270,494825,+,s14,2332,CDS,CDS,CG17484,p120ctn
chr4,411052,412170,-,s15,2059,CDS,5' UTRs,CG2052,CG2052
chr3LHet,2423419,2423807,+,s16,1664,CDS,CDS,CG17023,Dbp80
chr2L,19166086,19166358,+,s17,1491,5' UTRs,5' UTRs,CG10719,brat
chr2RHet,1292105,1293393,-,s18,1471,CDS,CDS,CG40263,CG40263
chr3RHet,1964216,1964748,+,s19,1450,CDS,CDS,CG40411,Parp
chr2RHet,669366,669933,-,s20,1441,CDS,CDS,FBgn0040017,CG17684-RC
chr4,92948,107792,+,s21,1426,5' UTRs,CDS,CG34403,pan
chr4,919020,924097,-,s22,1394,CDS,5' UTRs,CG2999,unc-13
chr4,1150062,1151212,+,s23,1369,CDS,CDS,CG11155,CG11155
chrX,15713630,15714586,+,s24,1334,5' UTRs,CDS,CG8544,sd
chr3R,5257752,5258561,+,s25,1327,5' UTRs,CDS,FBgn0026188,NA
chr3L,12844410,12845377,+,s26,1271,CDS,CDS,CG11009,CG11009
chr2R,1203775,1208120,+,s27,1254,CDS,CDS,CG10392,sxc
chr4,1250829,1254609,+,s28,1083,CDS,CDS,CG33653,Caps
chr2R,599320,600280,-,s29,1070,CDS,CDS,CG17704,Nipped-B
chrX,17771455,17772549,-,s30,1058,CDS,5' UTRs,CG42273,mnb
chr3LHet,1351734,1352326,-,s31,998,CDS,CDS,CG40178,CG40178
chr4,92948,93488,+,s32,984,5' UTRs,CDS,CG34403,pan
chr2L,22820171,22820635,+,s33,983,5' UTRs,introns,CG18028,lt
chr2R,9804360,9805415,-,s34,943,CDS,CDS,CG18076,shot
chr2R,1129402,1133642,-,s35,916,CDS,CDS,CG33554,Nipped-A
