chr3L:16522726-16523756	-	dme_circ_0004209	1030	515	wt18_rr_rep2, wt29_rr_rep2, slow18_rr_rep2	1, 1, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, OVCODE, OVEXON, UTR5	FBtr0307368	CG43373	Ashwal2014
chr2L:9272465-9291686	+	dme_circ_0003682	19221	773	slow29rr, wt29rr, wt18m, wt29m	1, 1, 1, 1	NA	ALT_DONOR, CDS, coding, INTERNAL, OVCODE, OVEXON, UTR3, UTR5	FBtr0330022	CG43733	Ashwal2014
chr3L:20828455-20828607	+	dme_circ_0001508	152	152	S2_rr, S2_m	1, 1	NA	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	FBtr0302641	Pka-R1	Ashwal2014
chrX:6990847-7704938	-	dme_circ_0001831	714091	714029	S2_rr, S2_m	1, 3	NA	ALT_ACCEPTOR, coding, OVCODE, OVERLAPTX, OVEXON, upstream_start, UTR5	FBtr0331259	Sxl	Ashwal2014
chr3R:15713428-15713590	+	dme_circ_0001495	162	162	slow18_rr_rep2, wt29m, wt29rr, wt18_rr_rep2	1, 1, 1, 1	NA	ANTISENSE, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0083857	ninaE	Ashwal2014
chr2R:5991760-5993330	+	dme_circ_0004997	1570	519	slow18_rr_rep2, wt29rr, slow29rr, wt18_rr_rep2, wt29m, slow29_m_rep2, S2_rr, wt29_rr_rep2, slow29_rr_rep2	1, 1, 1, 2, 1, 1, 3, 1, 3	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, OVCODE, OVEXON, UTR5	FBtr0088415	14-3-3zeta	Ashwal2014
chr3L:16206158-16207461	-	dme_circ_0001158	1303	1303	slow29rr, wt18rr	1, 1	NA	ALT_DONOR, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, OVCODE, OVERLAPTX, OVEXON, UTR5	FBtr0075485	CG13073	Ashwal2014
chr3R:17124339-17124440	+	dme_circ_0004586	101	101	wt29m, slow29_m_rep2, slow18m, wt18m, wt29_rr_rep2, wt18rr, slow29m, slow18_m_rep2, slow29rr, wt29_m_rep2, wt18_rr_rep2	1, 3, 1, 2, 1, 1, 2, 1, 1, 3, 1	NA	ALT_ACCEPTOR, ALT_DONOR, INTERNAL, ncRNA, OVEXON	FBtr0332373	Hsromega	Ashwal2014
chr2L:14601686-14602000	-	dme_circ_0003367	314	262	wt29m, slow29rr, wt29rr, slow29_rr_rep2, wt29_rr_rep2	1, 1, 1, 1, 4	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0301496	osp	Ashwal2014
chr3L:13533663-13577371	-	dme_circ_0003574	43708	702	wt29_rr_rep2, slow29_rr_rep2	1, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0330351	bru-3	Ashwal2014
chr4:1250827-1254609	+	dme_circ_0002141	3782	728	wt18_m_rep2, wt18rr, slow29m, slow18_rr_rep2, wt18_rr_rep2, slow29rr, wt29_m_rep2, wt29rr, slow18m, slow29_m_rep2, wt29m, slow29_rr_rep2, wt18m, wt29_rr_rep2, slow18rr	1, 24, 3, 11, 39, 35, 9, 70, 1, 5, 12, 48, 3, 37, 10	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0307333	Caps	Ashwal2014
chr2R:14034183-14034404	-	dme_circ_0004327	221	221	slow29_rr_rep2, wt29_rr_rep2	2, 1	NA	ANTISENSE, coding, INTERNAL, OVEXON, UTR3	FBtr0086740	pAbp	Ashwal2014
chr2R:20586020-20586301	-	dme_circ_0000482	281	281	wt29_rr_rep2, slow18_rr_rep2	1, 1	NA	ALT_ACCEPTOR, ALT_DONOR, coding, INTERNAL, OVEXON, UTR3	FBtr0331983	CG33988	Ashwal2014
chr3R:3336406-3336615	-	dme_circ_0001202	209	209	wt18_m_rep2, wt29_rr_rep2	1, 1	NA	ALT_ACCEPTOR, ALT_DONOR, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0081553	alpha-Est8	Ashwal2014
chr2R:18765678-18767565	+	dme_circ_0001093	1887	1699	wt29rr, slow29rr, wt29_m_rep2, wt18_rr_rep2, wt18rr, slow18_m_rep2, slow18rr, wt29_rr_rep2, slow29_rr_rep2, wt29m	10, 7, 1, 7, 12, 1, 10, 6, 8, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_UPSTREAM, OVCODE, OVEXON, UTR3	FBtr0304922	PIP5K59B	Ashwal2014
chrX:11090208-11090808	-	dme_circ_0001861	600	600	S2_m, S2_rr	1, 1	NA	INTERGENIC	None	None	Ashwal2014
chr2L:6575848-6576366	-	dme_circ_0004743	518	353	slow29rr, wt29rr	1, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0089641	CG11319	Ashwal2014
chr2R:11309031-11340513	+	dme_circ_0004255	31482	968	slow18_rr_rep2, wt18_rr_rep2	1, 3	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVERLAPTX, OVEXON	FBtr0330011	CG43729	Ashwal2014
chr2R:13238598-13249602	+	dme_circ_0001678	11004	952	wt29rr, slow29rr, wt29_m_rep2, wt18_rr_rep2, slow18_rr_rep2, wt18rr, slow29m, wt18_m_rep2, slow18rr, wt29_rr_rep2, slow29_rr_rep2, wt29m	9, 6, 3, 4, 1, 2, 1, 1, 1, 9, 5, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0310347	mbl	Ashwal2014
chr2R:2514030-2514373	+	dme_circ_0000831	343	343	S2_rr	2	NA	ANTISENSE, coding, INTERNAL, OVEXON, UTR3	FBtr0086152	Vha16-1	Ashwal2014
chr3L:14896975-14898080	+	dme_circ_0004417	1105	1105	wt18rr, slow29m, slow18_rr_rep2, slow18_m_rep2, slow29rr, wt29_m_rep2, wt29rr, wt18_rr_rep2, slow29_m_rep2, wt29m, slow18rr, slow29_rr_rep2, wt29_rr_rep2	2, 4, 1, 1, 18, 1, 15, 3, 1, 2, 1, 14, 15	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, OVCODE, OVEXON, UTR5	FBtr0331181	DCX-EMAP	Ashwal2014
chrU:383102-398955	+	dme_circ_0000846	15853	823	wt18_rr_rep2, slow29_rr_rep2	1, 1	NA	ALT_ACCEPTOR, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0302254	CG42623	Ashwal2014
chr2R:11518214-11525440	+	dme_circ_0002005	7226	247	slow18_rr_rep2, wt18rr, wt18_rr_rep2, wt29_rr_rep2, slow29_rr_rep2, wt29rr, slow18rr	2, 5, 3, 1, 1, 4, 4	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_UPSTREAM, OVCODE, OVEXON, UTR3	FBtr0300853	CG42524	Ashwal2014
chr4:1250827-1265819	+	dme_circ_0003454	14992	1234	wt29rr, slow18rr	1, 1	NA	ANNOTATED, CDS, coding, INTERNAL, MORE_CDS_DOWNSTREAM, MORE_CDS_UPSTREAM, OVCODE, OVEXON	FBtr0307333	Caps	Ashwal2014
